EPGChannelID,ChannelName,GuideChannelNum,StreamURL,NumCaptionTracks,Error
15019,MC - Love Songs,1919,https://str2atl270.mdu1.tv/MC_LOVE_1919/index.m3u8,0,
14982,"MeTV (WLMT2) Memphis, TN",31,https://local.memphis.mdu1.net/WLMT.4/index.m3u8,-1, http error 404 not found
14981,"Antenna (WREG-TV3) Memphis, TN",1,https://local.memphis.mdu1.net/Antenna_TV/index.m3u8,-1, http error 404 not found
14980,"News Channel 3 Anytime (WREG-Tv2) Memphis, TN",2,https://local.memphis.mdu1.net/NewsChannel_3/index.m3u8,-1, http error 404 not found
14979,"Circle (WMC-TV3) Memphis, TN",7,https://local.memphis.mdu1.net/Circle/index.m3u8,1,
14978,"Bounce (WMC-TV2) Memphis, TN",6,https://local.memphis.mdu1.net/Bounce/index.m3u8,1,
14779,New England Sports Network Plus,1629,https://str2atl270.mdu1.tv/NESN_PLUS-1629/index.m3u8,3,
14716,"Create (WFSU-TV3) Tallahassee, FL",13,https://local.tal.mdu1.net/WFSU.5/index.m3u8,0,
14683,QVC,1009,https://str2atl270.mdu1.tv/QVC-1009/index.m3u8,3,
14664,"CW+ (WTLH2) Bainbridge, GA",47,https://local.tal.mdu1.net/WTLH.4/index.m3u8,1,
14601,MC - R&B Soul,1909,https://str2atl270.mdu1.tv/MC_RBSL_1909/index.m3u8,0,
14600,MC - R&B Classics,1908,https://str2atl270.mdu1.tv/MC_RBCL_1908/index.m3u8,0,
14599,MC - Throwback Jamz,1907,https://str2atl270.mdu1.tv/MC_TBUZ_1907/index.m3u8,0,
14598,MC - Hip-Hop Classics,1904,https://str2atl270.mdu1.tv/MC_Hip-Hop_1904/index.m3u8,0,
14597,MC - Rap,1905,https://str2atl270.mdu1.tv/MC_RAP_1905/index.m3u8,0,
14596,MC - Dance/EDM,1902,https://str2atl270.mdu1.tv/MC_Dance_1902/index.m3u8,0,
14595,MC - Romances,1939,https://str2atl270.mdu1.tv/MC_ROM_1939/index.m3u8,0,
14594,MC - Mexicana,1937,https://str2atl270.mdu1.tv/MC_MEX_1937/index.m3u8,0,
14593,MC - Tropicales,1938,https://str2atl270.mdu1.tv/MC_TROP_1938/index.m3u8,0,
14592,MC - Pop Latino,1935,https://str2atl270.mdu1.tv/MC_PLAT_1935/index.m3u8,0,
14591,MC - Music Urbana,1936,https://str2atl270.mdu1.tv/MC_URB_1936/index.m3u8,0,
14590,MC - Light Classical,1949,https://str2atl270.mdu1.tv/MC_LCL_1949/index.m3u8,0,
14589,MC - Classical Masterpieces,1948,https://str2atl270.mdu1.tv/MC_CLM_1948/index.m3u8,0,
14588,MC - Indie,1903,https://str2atl270.mdu1.tv/MC_Indies_1903/index.m3u8,0,
14587,MC - Easy Listening,1947,https://str2atl270.mdu1.tv/MC_EASY_1947/index.m3u8,0,
14585,MC - Blues,1945,https://str2atl270.mdu1.tv/MC_BLUE_1945/index.m3u8,0,
14584,MC - Jazz,1944,https://str2atl270.mdu1.tv/MC_JZZ_1944/index.m3u8,0,
14583,MC - Smooth Jazz,1943,https://str2atl270.mdu1.tv/MC_SMJZ_1943/index.m3u8,0,
14582,MC - Soundscapes,1942,https://str2atl270.mdu1.tv/MC_SOUN_1942/index.m3u8,0,
14581,MC - Sounds of The Seasons,1940,https://str2atl270.mdu1.tv/MC_SEAS_1940/index.m3u8,0,
14580,MC - Contemporary Christian,1934,https://str2atl270.mdu1.tv/MC_CHR_1934/index.m3u8,0,
14579,MC - Classic Country,1933,https://str2atl270.mdu1.tv/MC_CNTC_1933/index.m3u8,0,
